Country Name;chmort;gdp;gdp_bil
Serbia; 4,8;5,059729e+10;5,059729e+01
Sao Tome and Principe;24,4;4,222968e+08;4,222968e-01
Suriname;16,9;3,590754e+09;3,590754e+00
Slovak Republic; 4,6;1,059046e+11;1,059046e+02
Slovenia; 1,7;5,400797e+10;5,400797e+01
Sweden; 2,2;5,560865e+11;5,560865e+02
Eswatini;43,0;4,710618e+09;4,710618e+00
Seychelles;12,4;1,590180e+09;1,590180e+00
Turks and Caicos Islands;NA;1,022312e+09;1,022312e+00
Chad;71,4;1,127312e+10;1,127312e+01
Togo;47,4;5,358723e+09;5,358723e+00
Thailand; 7,8;5,049928e+11;5,049928e+02
Tajikistan;30,4;7,522948e+09;7,522948e+00
Turkmenistan;39,3;4,076114e+10;4,076114e+01
Timor-Leste;39,3;2,581000e+09;2,581000e+00
Tonga;13,4;4,503533e+08;4,503533e-01
Trinidad and Tobago;16,4;2,380815e+10;2,380815e+01
Tunisia;14,6;3,987113e+10;3,987113e+01
Turkey; 9,1;7,713503e+11;7,713503e+02
Tuvalu;20,6;4,258778e+07;4,258778e-02
Tanzania;37,6;5,800120e+10;5,800120e+01
Uganda;33,8;2,746144e+10;2,746144e+01
Ukraine; 7,5;1,308324e+11;1,308324e+02
Uruguay; 6,4;5,959689e+10;5,959689e+01
United States; 5,6;2,054434e+13;2,054434e+04
Uzbekistan;19,1;5,049992e+10;5,049992e+01
St. Vincent and the Grenadines;14,8;8,113000e+08;8,113000e-01
Vietnam;16,5;2,452137e+11;2,452137e+02
Vanuatu;22,3;9,143011e+08;9,143011e-01
Samoa;13,6;8,204918e+08;8,204918e-01
Kosovo;NA;7,938991e+09;7,938991e+00
Yemen, Rep.;42,9;2,691440e+10;2,691440e+01
South Africa;28,5;3,682889e+11;3,682889e+02
Zambia;40,4;2,672007e+10;2,672007e+01
Zimbabwe;33,9;3,100052e+10;3,100052e+01
