"UF","MUNIC","PESO"
"176","35","00105",10.3242229152848
"177","35","00105",13.2069328712544
"178","35","00105",13.2069328712544
"179","35","00105",4.1344861476667
"180","35","00105",4.1344861476667
"181","35","00105",4.1344861476667
"182","35","00105",4.1344861476667
"183","35","00105",13.1868475840021
"184","35","00105",13.1868475840021
"185","35","00105",13.1868475840021
"186","35","00105",13.1868475840021
"187","35","00105",13.1868475840021
"188","35","00105",16.4720704111376
"189","35","00105",16.4720704111376
"190","35","00105",16.4720704111376
"191","35","00105",16.4720704111376
"192","35","00105",8.3006411217547
"193","35","00105",9.1331265478586
"194","35","00105",9.1331265478586
"195","35","00105",7.0096653099069
"196","35","00105",7.0096653099069
"197","35","00105",13.4544705023541
"198","35","00105",13.4544705023541
"199","35","00105",13.4544705023541
"200","35","00105",10.3359406712665
