mun7;areap;controle;peso;idade;sexof;ge_pia
2408102;2408102004006;5612524;23,625848;  0;Masculino;[0,15)
2408102;2408102004006;5918943;11,828571;  0;Feminino;[0,15)
2408102;2408102004007; 499816;16,330825;  0;Masculino;[0,15)
2408102;2408102004007; 662460;12,802347;  0;Feminino;[0,15)
2408102;2408102004007; 912805;27,996924;  0;Masculino;[0,15)
2408102;2408102004007; 987707;22,265665;  0;Feminino;[0,15)
2408102;2408102004007;1123281;36,356280;  0;Feminino;[0,15)
2408102;2408102004007;1458325;22,653279;  0;Masculino;[0,15)
2408102;2408102004007;1610969;29,701703;  0;Feminino;[0,15)
2408102;2408102004007;1737667;30,899903;  0;Feminino;[0,15)
2408102;2408102004007;1926130;19,511838;  0;Masculino;[0,15)
2408102;2408102004007;2021773;22,174011;  0;Feminino;[0,15)
2408102;2408102004007;2049422;20,173613;  0;Masculino;[0,15)
2408102;2408102004007;3101081; 9,028588;  0;Masculino;[0,15)
2408102;2408102004007;3206247;18,065432;  0;Masculino;[0,15)
2408102;2408102004007;3735429; 9,392153;  0;Masculino;[0,15)
2408102;2408102004007;4246981;22,293330;  0;Feminino;[0,15)
2408102;2408102004007;4369966;16,054593;  0;Masculino;[0,15)
2408102;2408102004007;4852822;31,196798;  0;Feminino;[0,15)
2408102;2408102004007;4852822;31,196798;  0;Feminino;[0,15)
2408102;2408102004007;5041113;14,031143;  0;Masculino;[0,15)
2408102;2408102004008;  83012;12,850474;  0;Feminino;[0,15)
2408102;2408102004008; 219862;17,712862;  0;Masculino;[0,15)
2408102;2408102004008; 311228;16,466278;  0;Masculino;[0,15)
2408102;2408102004008; 659044;18,991190;  0;Feminino;[0,15)
2408102;2408102004008; 804420;21,642563;  0;Masculino;[0,15)
2408102;2408102004008;1044594; 7,729052;  0;Feminino;[0,15)
2408102;2408102004008;1070926;18,730427;  0;Masculino;[0,15)
2408102;2408102004008;1164114;13,426420;  0;Masculino;[0,15)
2408102;2408102004008;1342845;29,391702;  0;Masculino;[0,15)
2408102;2408102004008;1407423;15,523554;  0;Feminino;[0,15)
2408102;2408102004008;2053032;19,069070;  0;Feminino;[0,15)
2408102;2408102004008;2081554;18,376470;  0;Masculino;[0,15)
2408102;2408102004008;2363479;20,324746;  0;Feminino;[0,15)
2408102;2408102004008;2785787;23,277488;  0;Feminino;[0,15)
2408102;2408102004008;2971042;21,655834;  0;Feminino;[0,15)
2408102;2408102004008;3371744;17,361741;  0;Feminino;[0,15)
2408102;2408102004008;3465260;10,491456;  0;Feminino;[0,15)
2408102;2408102004008;3500760;21,107204;  0;Masculino;[0,15)
2408102;2408102004008;3779982;11,835088;  0;Masculino;[0,15)
