"";"V0011";"V0300";"V0010";"V6036";"mun7";"V0601f";"ge_pia"
"240389";"2408102004005";70932;14,9348545143033;0;2408102;"Feminino";"[0,15)"
"240505";"2408102004005";518658;26,0851375381082;0;2408102;"Masculino";"[0,15)"
"240530";"2408102004005";607215;24,9973909895806;0;2408102;"Masculino";"[0,15)"
"240632";"2408102004005";1145989;19,5716860016575;0;2408102;"Feminino";"[0,15)"
"240643";"2408102004005";1187491;23,4576633929136;0;2408102;"Feminino";"[0,15)"
"240704";"2408102004005";1298875;19,4275324681623;0;2408102;"Masculino";"[0,15)"
"240707";"2408102004005";1300899;12,6657153811936;0;2408102;"Feminino";"[0,15)"
"240719";"2408102004005";1337691;7,9321359096505;0;2408102;"Feminino";"[0,15)"
"240724";"2408102004005";1385567;31,9419659265975;0;2408102;"Masculino";"[0,15)"
"240748";"2408102004005";1445755;24,2791742787881;0;2408102;"Masculino";"[0,15)"
"240841";"2408102004005";1798466;16,2861787660801;0;2408102;"Feminino";"[0,15)"
"240941";"2408102004005";2266657;11,5947411106516;0;2408102;"Feminino";"[0,15)"
"241025";"2408102004005";2705286;10,8739066130789;0;2408102;"Feminino";"[0,15)"
"241055";"2408102004005";2889796;25,9536482051312;0;2408102;"Feminino";"[0,15)"
"241094";"2408102004005";2992459;13,2610335715221;0;2408102;"Feminino";"[0,15)"
"241242";"2408102004005";3636913;9,423416011504;0;2408102;"Masculino";"[0,15)"
"241261";"2408102004005";3677106;15,4659565464918;0;2408102;"Feminino";"[0,15)"
"241271";"2408102004005";3700136;24,4762436319132;0;2408102;"Masculino";"[0,15)"
"241291";"2408102004005";3754879;18,8449039135964;0;2408102;"Feminino";"[0,15)"
"241293";"2408102004005";3756549;32,0934944750505;0;2408102;"Masculino";"[0,15)"
"241301";"2408102004005";3774533;23,9234155463511;0;2408102;"Feminino";"[0,15)"
"241333";"2408102004005";3923730;14,1306515694059;0;2408102;"Feminino";"[0,15)"
"241501";"2408102004005";4681282;5,7586974664313;0;2408102;"Feminino";"[0,15)"
"241654";"2408102004005";5113866;25,1949973950923;0;2408102;"Masculino";"[0,15)"
"241661";"2408102004005";5116415;19,3269617426963;0;2408102;"Feminino";"[0,15)"
"241696";"2408102004005";5219535;13,4196326095695;0;2408102;"Feminino";"[0,15)"
"241699";"2408102004005";5219535;13,4196326095695;0;2408102;"Masculino";"[0,15)"
"241734";"2408102004005";5402975;15,4659565464918;0;2408102;"Feminino";"[0,15)"
"241743";"2408102004005";5467172;25,0850683190808;0;2408102;"Feminino";"[0,15)"
"241755";"2408102004005";5480240;14,6696173724803;0;2408102;"Feminino";"[0,15)"
"241864";"2408102004005";6181101;30,8996279750827;0;2408102;"Masculino";"[0,15)"
"241888";"2408102004006";119571;18,1303724174696;0;2408102;"Feminino";"[0,15)"
"242060";"2408102004006";946474;19,0406573991624;0;2408102;"Feminino";"[0,15)"
"242141";"2408102004006";1281021;19,0416746623976;0;2408102;"Feminino";"[0,15)"
"242468";"2408102004006";2946774;9,6655076722676;0;2408102;"Feminino";"[0,15)"
"242469";"2408102004006";2946774;9,6655076722676;0;2408102;"Feminino";"[0,15)"
"242645";"2408102004006";3764614;18,3106016103509;0;2408102;"Masculino";"[0,15)"
"242887";"2408102004006";4986049;20,1007002381909;0;2408102;"Masculino";"[0,15)"
"242948";"2408102004006";5364512;27,0138431792007;0;2408102;"Masculino";"[0,15)"
"243005";"2408102004006";5612524;23,6258484091885;0;2408102;"Masculino";"[0,15)"
"243080";"2408102004006";5918943;11,8285710512514;0;2408102;"Feminino";"[0,15)"
"243263";"2408102004007";499816;16,3308250459605;0;2408102;"Masculino";"[0,15)"
"243295";"2408102004007";662460;12,8023468896945;0;2408102;"Feminino";"[0,15)"
"243366";"2408102004007";912805;27,9969244313342;0;2408102;"Masculino";"[0,15)"
"243391";"2408102004007";987707;22,2656650850345;0;2408102;"Feminino";"[0,15)"
"243423";"2408102004007";1123281;36,3562796814824;0;2408102;"Feminino";"[0,15)"
"243520";"2408102004007";1458325;22,653279240115;0;2408102;"Masculino";"[0,15)"
"243582";"2408102004007";1610969;29,7017031787925;0;2408102;"Feminino";"[0,15)"
"243613";"2408102004007";1737667;30,8999033998447;0;2408102;"Feminino";"[0,15)"
"243667";"2408102004007";1926130;19,5118384056227;0;2408102;"Masculino";"[0,15)"
"243690";"2408102004007";2021773;22,1740106302893;0;2408102;"Feminino";"[0,15)"
"243698";"2408102004007";2049422;20,1736127542351;0;2408102;"Masculino";"[0,15)"
"243939";"2408102004007";3101081;9,0285883009634;0;2408102;"Masculino";"[0,15)"
"243973";"2408102004007";3206247;18,065432215896;0;2408102;"Masculino";"[0,15)"
"244090";"2408102004007";3735429;9,3921530380523;0;2408102;"Masculino";"[0,15)"
"244208";"2408102004007";4246981;22,2933303105564;0;2408102;"Feminino";"[0,15)"
"244221";"2408102004007";4369966;16,0545929521017;0;2408102;"Masculino";"[0,15)"
"244287";"2408102004007";4852822;31,1967982533582;0;2408102;"Feminino";"[0,15)"
"244289";"2408102004007";4852822;31,1967982533582;0;2408102;"Feminino";"[0,15)"
"244338";"2408102004007";5041113;14,0311430932619;0;2408102;"Masculino";"[0,15)"
"244622";"2408102004008";83012;12,8504740086196;0;2408102;"Feminino";"[0,15)"
"244649";"2408102004008";219862;17,7128616707206;0;2408102;"Masculino";"[0,15)"
"244683";"2408102004008";311228;16,4662783424168;0;2408102;"Masculino";"[0,15)"
"244769";"2408102004008";659044;18,9911900406515;0;2408102;"Feminino";"[0,15)"
"244811";"2408102004008";804420;21,6425633338641;0;2408102;"Masculino";"[0,15)"
